time,position
0.004166666666666667,0.14933333333333335
0.008333333333333333,0.15233333333333332
0.0125,0.156
0.016666666666666666,0.16
0.020833333333333332,0.16
0.024999999999999998,0.17
0.029166666666666664,0.176
0.03333333333333333,0.185
0.0375,0.18833333333333332
0.041666666666666664,0.195
0.04583333333333333,0.20166666666666666
0.049999999999999996,0.20833333333333334
0.05416666666666666,0.21566666666666667
0.05833333333333333,0.223
0.06249999999999999,0.23333333333333334
0.06666666666666667,0.23666666666666666
